"fecha_de_registro","referencia_de_la_oferta","identificador_de_la_oferta","valor_de_la_oferta","entidad_compradora","nit_entidad_compradora","moneda","descripcion_del_procedimiento","referencia_del_proceso","id_del_proceso_de_compra","modalidad","invitacion_directa","nombre_proveedor","nit_del_proveedor","codigo_entidad","codigo_proveedor"
"2023-05-05T00:00:00.000","CONVENIO SED 000632023 GOBERNACIÓN NORTE DE SANTANDER","CO1.RPL.3377914","180000000","Gobernación Norte de Santander","800103927","COP","AUNAR ESFUERZOS ENTRE EL DEPARTAMENTO NORTE DE SANTANDER Y LA UNIVERSIDAD DE PAMPLONA PARA IMPLEMENTAR UN PROGRAMA DE SUBSIDIOS YO DESCUENTOS EDUCATIVOS QUE PERMITA A ESTUDIANTES DE ESCASOS RECURSOS ECONÓMICOS NIVELES 1 2 y 3 DEL SISBEN HABITANTES DEL DEPARTAMENTO NORTE DE SANTANDER CON EL FIN DE CURSAR ESTUDIOS DE PREGRADO EN LA UNIVERSIDAD DE PAMPLONA DENTRO DE LOS PROGRAMAS ACADÉMICOS OFRECIDOS Y APROBADOS POR LA AUTORIDAD COMPETENTE A NIVEL DE PREGRADO EN LAS MODALIDADES PRESENCIAL Y A","CONVENIOSED000632023","CO1.BDOS.4357656","Contratación Directa (con ofertas)","Si","UNIVERSIDAD DE PAMPLONA","890501510","709391528","702209743"
"2023-05-05T00:00:00.000","GLOBAL BIG DAY  CORPORED","CO1.RPL.3376365","279116000","INSTITUTO DE TURISMO DEL META","892000563","COP","PRESTACIÓN DE SERVICIOS LOGÍSTICOS PARA EL APOYO AL TURISMO DE AVISTAMIENTO DE AVES EN EL GLOBAL BIG DAY 2023 PARA LA PROMOCIÓN DE LA MARCA META","SAMCITM0062023 Manifestación de interés Menor Cuantía Presentación de oferta","CO1.BDOS.4318061","Selección Abreviada de Menor Cuantía","Si","CORPORACIÒN RED SOCIAL PARA EL DESARROLLO HUMANO","900498618","705645349","702620113"
"2022-02-28T00:00:00.000","PROVEDORES DEL SUR REFRIGERIOS","CO1.RPL.2604315","80000000","ALCALDIA DE PASTO","891280000","COP","El Contratista se compromete para con el Municipio de Pasto a producir y a suministrar en óptimas condiciones higiénico sanitarias tal como lo exige la norma de salubridad con cobertura garantizada los alimentos procesados refrigerios almuerzos que se solicite o que fueran requeridos para la logística de actividades electorales programadas bajo la modalidad de monto agotable","IP202213","CO1.BDOS.2838304","Mínima cuantía","No","PROVEEDORES DEL SUR","87066883","700694094","704187228"
"2022-10-18T00:00:00.000","OFERTA PN ESPOL SA MC 004 2022 BROKA","CO1.RPL.3038213","807945284","ESPOL","800226849","COP","MANTENIMIENTO INFRAESTRUCTURA VIAL Y URBANISMO DE LA ESCUELA DE POSGRADOS DE POLICÍA MIGUEL ANTONIO LLERAS PIZARRO A PRECIOS UNITARIOS FIJOS SIN FÓRMULA DE REAJUSTE","PN ESPOL SA MC 004 2022 Manifestación de interés Menor Cuantía Presentación de oferta","CO1.BDOS.3313847","Selección Abreviada de Menor Cuantía","Si","BROKA CONSTRUCCIONES E INTERVENTORIA SAS","901167911","701695355","704330240"
"2023-04-03T00:00:00.000","PN ESPOL MIC 005 2023  STRATEGY SAS","CO1.RPL.3314149","9590400","ESPOL","800226849","COP","ADQUISICIÓN DE PORTADIPLOMAS","PN ESPOL MIC 005 2023","CO1.BDOS.4220795","Mínima cuantía","No","STRATEGY SAS","830053792","701695355","700794092"
"2023-03-18T00:00:00.000","PN ESPOL SIP 014 2023 ADQUISICIÓN ARCHIVADOR DE SEGURIDAD PARA LA OFICINA DE TALENTO HUMANO EN LA ESCUELA DE POSTGRADOS DE Solicitud de información a los Proveedores ESPOL","CO1.RPL.3287250","6000000","ESPOL","800226849","COP","ADQUISICIÓN ARCHIVADOR DE SEGURIDAD PARA LA OFICINA DE TALENTO HUMANO EN LA ESCUELA DE POSTGRADOS DE POLICÍA MIGUEL ANTONIO LLERAS PIZARRO","PN ESPOL SIP 014 2023","CO1.BDOS.4178915","Solicitud de información a los Proveedores","No","DE DISTRIBUTION ENGINEERING SAS","901065659","701695355","709170393"
"2023-05-04T00:00:00.000","OFERTA HOSPITAL SANTA MONICAEXT","CO1.RPL.3375530","737031206","GOBERNACIÓN DE RISARALDA","891480085","COP","AUNAR ESFUERZOS TECNICOS ADMINISTRATIVOS Y FINANCIEROS PARA LA EJECUCIÓN DEL PROYECTO DENOMINADO CONSTRUCCION DE UN CENTRO DE ATENCIÓN A LA DROGADICCIÓN EN LA ESE HOSPITAL SANTA MÓNICA DEL MUNICIPIO DE DOSQUEBRADASRISARALDA","SSCDCA0032023","CO1.BDOS.4360925","Contratación Directa (con ofertas)","Si","EMPRESA SOCIAL DEL ESTADO HOSPITAL SANTA MONICA DE DOSQUEBRADAS","891411663","702280165","709999114"
"2023-05-05T00:00:00.000","sena conviviencia itagui23","CO1.RPL.3373006","73575298","SENA REGIONAL ANTIOQUIA Grupo Administrativo Complejo Itagüí","899999034","COP","5920576 Contratar el servicio integral de espacios adecuados fuera del Centro de Formación para la realización de convivencias encuentros o reuniones grupales que les permita a los aprendices del Centro de formación y del Complejo Sur desarrollar habilidades sociales de integración comunicación y participación","MCANTCTM0092023","CO1.BDOS.4343907","Mínima cuantía","No","corporacion las tablas","811033671","704161454","700149057"
"2023-05-04T00:00:00.000","LEGIS INFORMACION PROFESIONAL SA NIT 900850150EXT","CO1.RPL.3374555","1433900","INSTITUTO TECNOLOGICO  METROPOLITANO","800214750","COP","Adquisición del licenciamiento del software ConstruplanNet versión en la nube de acuerdo con las especificaciones técnicas","DJUR 70 DE 2023","CO1.BDOS.4362551","Contratación Directa (con ofertas)","Si","LEGIS INFORMACION PROFESIONAL SA","900850150","703000075","701385098"
"2021-11-15T00:00:00.000","OBRAS DE DEMARCACION E INSTALACION DE SEÑALES","CO1.RPL.2439722","90000000","ESPOL","800226849","COP","DEMARCACIÓN VIAL Y SUMINISTRO E INSTALACIÓN DE SEÑALES VERTICALES","PN ESPOL MIC 020 2021","CO1.BDOS.2373728","Mínima cuantía","No","ECONSTRUCCIONES","900701807","701695355","710162603"
"2022-04-08T00:00:00.000","ASFALTO EN FRIO EN BULTOS DE 25 KL","CO1.RPL.2675846","36850","ALCALDÍA DE POPAYÁN","891580006","COP","SUMINISTRO DE ASFALTO FRIO CON ADITIVOS PARA LA OPERACION DEL PROYECTO DENOMINADO DESARROLLO DEL PROGRAMA DE INFRAESTRUCTURA PARA LA CONSTRUCCION REHABILITACION YO MANTENIMIENTO YO MEJORAMIENTO YO CONSERVACION VIAL EN EL MUNICIPIO DE POPAYAN 2022","MPSISI0012022 Presentación de oferta","CO1.BDOS.2851324","Selección abreviada subasta inversa","No","ASFRIO","900702364","703038141","709930184"
"2022-11-08T00:00:00.000","PN ESPOL MIC 011 2022","CO1.RPL.3077372","50000000","ESPOL","800226849","COP","REALIZAR MANTENIMIENTO PREVENTIVO Y CORRECTIVO A TODO COSTO DE LOS PORTONES DE SEGURIDAD Y ACCESORIOS DEL ACCESO VEHICULAR DE LA AV BOYACÁ Y AV SUBA","PN ESPOL MIC 011 2022","CO1.BDOS.3462380","Mínima cuantía","No","INDULTEC SOLUCIONES INTEGRALES SAS","901520694","701695355","716495817"
"2020-07-21T00:00:00.000","JARDINERÍA POLICIA IPSUM GROUP","CO1.RPL.1606304","65800000","ESPOL","800226849","COP","PRESTACIÓN DE SERVICIO DE JARDINERÍA TRATAMIENTO Y MANEJO SILVICULTURAL","PN ESPOL MIC 007 2020","CO1.BDOS.1332632","Mínima cuantía","No","IPSUM GROUP SAS","901161331","701695355","707302402"
"2019-10-15T00:00:00.000","OFERTA MADIBI SAS 10  2019","CO1.RPL.1212003","26180000","ESPOL","800226849","COP","MANTENIMIENTO PREVENTIVO Y CORRECTIVO A LAS SILLAS DEL AUDITORIO SALONES DE LAS AVIANQUITAS Y CAPILLA DE LA ESCUELA DE POSTGRADOS DE POLICÍA MIGUEL ANTONIO LLERAS PIZARRO","PN ESPOL MIC 011 2019","CO1.BDOS.949106","Mínima cuantía","No","MADIBI SAS","900619389","701695355","702745688"
"2018-10-31T00:00:00.000","POSGRADOS POLICIA ATEMPO","CO1.RPL.744404","1936507","ESPOL","800226849","COP","ADQUISICIÓN DE ELEMENTOS DE PAPELERÍA ÚTILES DE ESCRITORIO Y CONSUMIBLES DE IMPRESIÓN","PN ESPOL MIC 017 2018","CO1.BDOS.579152","Mínima cuantía","No","ATEMPO PROVEEDORES EMPRESARIALES SAS","800096103","701695355","701388126"
"2023-05-05T00:00:00.000","CENAC  POPAYAN   KIT INCORPORACION  MARSAM SAS","CO1.RPL.3378608","174601180","CENTRAL ADMINISTRATIVA  Y CONTABLE  CENAC POPAYAN","900156335","COP","ADQUIRIR KIT DE INCORPORACIÓN PARA EL SEGUNDO TERCERO Y CUARTO CONTINGENTE VIGENCIA 2023 DE LAS UNIDADES CENTRALIZADAS  POR LA CENAC REGIONAL POPAYÁN LOTE 1 MATERIAL TEXTIL  LOTE 2 ELEMENTOS DE ASEO","SASI0001 CENAC REGIONAL POPAYÁN 2023 Presentación de oferta","CO1.BDOS.4279177","Selección abreviada subasta inversa","No","MARSAM SAS","901049062","702939109","703984435"
"2022-06-28T00:00:00.000","PROPUESTA PROVEDORES DEL SUR","CO1.RPL.2824658","5592000","INSTITUTO MUNICIPAL PARA LA RECREACION Y EL DEPORTEPASTO DEPORTE","814000385","COP","Adquisición por compraventa de elementos de logística para el desarrollo de los programas y proyectos del Instituto Municipal para la Recreación y el Deporte Pasto Deporte","IPPD0182022","CO1.BDOS.2985548","Mínima cuantía","No","PROVEEDORES DEL SUR","87066883","709449367","704187228"
"2017-12-07T00:00:00.000","BIBLIOTECA PUBLICA MONTERIA MC LP 011 2017","CO1.RPL.381604","616768413","MINISTERIO DE CULTURA","830034348","COP","CONTRATAR POR EL SISTEMA DE PRECIOS UNITARIOS FIJOS SIN FÓRMULA DE AJUSTE LA CONSTRUCCIÓN DE LA BIBLIOTECA PUBLICA DEL MUNICIPIO DE MONTERÍA  CÓRDOBA","MC LP 011 2017 Presentación de oferta","CO1.BDOS.243458","Licitación pública","No","ING HERNAN SALAZAR MEDINA","79142902","700637010","702382052"
"2021-02-18T00:00:00.000","620ADQUISICIÓN DE PORTADIPLOMAS ESCUELA DE POSTGRADOS DE POLICÍA","CO1.RPL.1937527","8262000","ESPOL","800226849","COP","ADQUISICIÓN DE PORTADIPLOMAS","PN ESPOL MIC 003 2021","CO1.BDOS.1770341","Mínima cuantía","No","SAGA","901269444","701695355","708890066"
"2019-09-26T00:00:00.000","aires bogota","CO1.RPL.1186435","10000000","ESPOL","800226849","COP","MANTENIMIENTO PREVENTIVO Y CORRECTIVO A TODO COSTO DE AIRES ACONDICIONADOS DE LA ESCUELA DE POSTGRADOS DE POLICÍA MIGUEL ANTONIO LLERAS PIZARRO","PN ESPOL MIC 008 2019","CO1.BDOS.937144","Mínima cuantía","No","Andrea Ortiz Novoa","69802291","701695355","704523554"
"2022-07-08T00:00:00.000","ASFORPrestación del servicio de tratamiento de silvicultura en la Escuela de Postgrados de Policía","CO1.RPL.2852236","60000000","ESPOL","800226849","COP","Prestación del servicio de tratamiento de silvicultura en la Escuela de Postgrados de Policía Miguel Antonio Lleras Pizarro","PN ESPOL SIP 023 2022","CO1.BDOS.3012618","Solicitud de información a los Proveedores","No","ASESORÍAS FORESTALES","8301289765","701695355","701340168"
"2021-10-15T00:00:00.000","DIAGRAMACION Y PUBLICIDAD","CO1.RPL.2387327","20000000","ESPOL","800226849","COP","SERVICIO DE IMPRESIÓN Y TRABAJOS TIPOGRÁFICOS MATERIAL DE MERCHANDISING","PN ESPOL MIC 014 2021","CO1.BDOS.2307374","Mínima cuantía","No","EDITORES CONARTE SAS","830120684","701695355","700897028"
"2022-08-04T00:00:00.000","SUMINISTRO DE ASFALTO EN FRIO PARA REPARCHEO DE VIAS URBANAS DEL MUNICIPIO DE VENECIA ANTIOQUIA SUMINISTRO EN BULTOS DE 25 KL O 55115 LB","CO1.RPL.2901678","26732160","MUNICIPIO DE VENECIA ANTIOQUIA","890980764","COP","Suministro de asfalto en frio para el reparcheo de vías urbanas del municipio de Venecia Antioquia","CMC0412022","CO1.BDOS.3084622","Mínima cuantía","No","ASFRIO","900702364","704359645","709930184"
"2023-04-04T00:00:00.000","Oferta presentada por la FWOH para el proceso No PN ESPOL SA MC 001 2023","CO1.RPL.3318727","226500000","ESPOL","800226849","COP","PRESTACIÓN DE SERVICIOS PARA EL DESARROLLO DE LAS ACTIVIDADES DE BIENESTAR Y APOYO PSICOSOCIAL ORIENTADAS A LA COMUNIDAD EDUCATIVA DE LA ESCUELA DE POSTGRADOS DE POLICÍA MIGUEL ANTONIO LLERAS PIZARRO","PN ESPOL SA MC 001 2023 Manifestación de interés Menor Cuantía Presentación de oferta","CO1.BDOS.4153301","Selección Abreviada de Menor Cuantía","Si","WAYS OF HOPE","900251399","701695355","700734056"
"2019-10-15T00:00:00.000","SECOP","CO1.RPL.1212600","22492801","ESPOL","800226849","COP","MANTENIMIENTO PREVENTIVO Y CORRECTIVO A LAS SILLAS DEL AUDITORIO SALONES DE LAS AVIANQUITAS Y CAPILLA DE LA ESCUELA DE POSTGRADOS DE POLICÍA MIGUEL ANTONIO LLERAS PIZARRO","PN ESPOL MIC 011 2019","CO1.BDOS.949106","Mínima cuantía","No","SOLUCIONES AISS SAS","9004075899","701695355","707479598"
"2019-11-19T00:00:00.000","PN ESPOL SA 003 2019 CCSubasta001","CO1.RPL.1267364","974638989","ESPOL","800226849","COP","DOTACIÓN DE ELEMENTOS Y EQUIPOS BLOQUE DE AULAS CENTRO DE CONVENCIONES  COMPLEJO ESPOL","PN ESPOL SA 003 2019 Presentación de oferta","CO1.BDOS.960545","Selección abreviada subasta inversa","No","COMPUTERS COLOMBIA LTDA","830097138","701695355","702738873"
"2023-05-05T00:00:00.000","OFERTA INS  INVERSIONES EL NORTE 2023","CO1.RPL.3376071","60000000","INS","899999403","COP","Prestar el servicio de mantenimiento preventivo yo correctivo con el suministro de repuestos nuevos originales y mano de obra para los diferentes vehículos de propiedad del Instituto Nacional de Salud","INSSAMC0032023 Manifestación de interés Menor Cuantía Presentación de oferta","CO1.BDOS.4260730","Selección Abreviada de Menor Cuantía","Si","INVERSIONES EL NORTE SAS","900710493","700927064","702608183"
"2023-04-17T00:00:00.000","ESTUDIO DE MERCADO ESPOL  CHOCO","CO1.RPL.3343103","213232500","ESPOL","800226849","COP","ADQUISICIÓN DE CÓMODAS METÁLICAS","PN ESPOL SIP 015 2023","CO1.BDOS.4299447","Solicitud de información a los Proveedores","Si","MUEBLES ROMERO SAS","860066674","701695355","700252026"
"2022-08-17T00:00:00.000","PN ESPOL SA 002 202Subasta001","CO1.RPL.2926514","289816794","ESPOL","800226849","COP","ADQUISICIÓN EQUIPOS DE CÓMPUTO Y LICENCIAMIENTO DE OFIMÁTICA PARA LA ESCUELA DE POSTGRADOS DE POLICÍA MIGUEL ANTONIO LLERAS PIZARRO","PN ESPOL SA 002 2022 Presentación de oferta","CO1.BDOS.2977409","Selección abreviada subasta inversa","No","B2B TIC SAS","901003982","701695355","704701267"
"2020-09-09T00:00:00.000","INGENIEROS ELECTRONICOS PROFESIONALESESPOL MIC 011 2020","CO1.RPL.1686294","40000000","ESPOL","800226849","COP","MANTENIMIENTO PREVENTIVO Y CORRECTIVO A TODO COSTO DE EQUIPOS AUDIOVISUALES DE LA ESCUELA DE POSTGRADOS DE POLICÍA MIGUEL ANTONIO LLERAS PIZARRO","PN ESPOL MIC 011 2020","CO1.BDOS.1429117","Mínima cuantía","No","INGENIEROS ELECTRÓNICOS PROFESIONALES EU","900343856","701695355","702114083"
"2019-03-09T00:00:00.000","CABLEADO ICBF PUTUMAYO PROVEDORES DEL SUR","CO1.RPL.893624","9560680","ICBF REGIONAL PUTUMAYO","899999239","COP","Adquisición de elementos para la adecuación y mantenimiento del cableado estructurado elementos de monitoreo y elementos de medición ambiental del Centro de Datos y Centros de Cableado de la Regional Putumayo y sus centros zonales","MC0132019PUT","CO1.BDOS.779711","Mínima cuantía","No","PROVEEDORES DEL SUR","87066883","704141639","704187228"
"2023-05-06T00:00:00.000","Propuesta Universidad UTP","CO1.RPL.3378723","94957580","GOBERNACIÓN DE RISARALDA","891480085","COP","CONTRATO INTERADMINISTRATIVO DE PRESTACION DE SERVICIOS CELEBRADO ENTRE LA GOBERNACION DE RISARALDA Y LA UNIVERSIDAD TECONOLOGICA DE PEREIRA PARA CONSTRUIR LA MEMORIA MINERA DEL DEPARTAMENTO A PARTIR DE LA IDENTIFICACION DE INFORMACION DESDE EL AMBITO ECONOMICO TECNICO POLITICO SOCIAL AMBIENTAL Y CULTURAL CON EL FIN DE APOYAR LOS PROCESOS DE PLANIFICACION Y ORGANIZACIÓN DEL SECTOR MINERO DEL DEPARTAMENTO DE RISARALDA","SDECDPS022023","CO1.BDOS.4360751","Contratación Directa (con ofertas)","Si","UNIVERSIDAD TECNOLÓGICA DE PEREIRA","891480035","702280165","700445026"
"2021-03-19T00:00:00.000","AIRES ESPOL","CO1.RPL.1987463","5500000","ESPOL","800226849","COP","ADQUISICIÓN INSTALACIÓN PUESTA EN FUNCIONAMIENTO DE AIRES ACONDICIONADOS","PN ESPOL MIC 006 2021","CO1.BDOS.1848710","Mínima cuantía","No","AA INGENIERIA SAS","900650723","701695355","702350844"
"2022-11-10T00:00:00.000","PN ESPOL MIC 013 2022","CO1.RPL.3076659","70000000","ESPOL","800226849","COP","MANTENIMIENTO PREVENTIVO Y CORRECTIVO A TODO COSTO DE EQUIPOS AUDIOVISUALES Y EQUIPOS DE COMPUTO DE LA ESCUELA DE POSTGRADOS DE POLICÍA MIGUEL ANTONIO LLERAS PIZARRO","PN ESPOL MIC 013 2022","CO1.BDOS.3484639","Mínima cuantía","No","SYSTEMNET INGENIERIA SAS","830122370","701695355","700985195"
"2023-05-05T00:00:00.000","Popayan 2023","CO1.RPL.3370108","174601180","CENTRAL ADMINISTRATIVA  Y CONTABLE  CENAC POPAYAN","900156335","COP","ADQUIRIR KIT DE INCORPORACIÓN PARA EL SEGUNDO TERCERO Y CUARTO CONTINGENTE VIGENCIA 2023 DE LAS UNIDADES CENTRALIZADAS  POR LA CENAC REGIONAL POPAYÁN LOTE 1 MATERIAL TEXTIL  LOTE 2 ELEMENTOS DE ASEO","SASI0001 CENAC REGIONAL POPAYÁN 2023 Presentación de oferta","CO1.BDOS.4279177","Selección abreviada subasta inversa","No","UNION TEMPORAL CDT  MORASU SAS","No Definido","702939109","705018026"
"2020-10-29T00:00:00.000","SAUTECH LTDA  PROCESO No PN ESPOL SA MC 002 2020","CO1.RPL.1776505","117557400","ESPOL","800226849","COP","ADQUISICIÓN INSTALACIÓN INTEGRACIÓN CONFIGURACIÓN DE LECTORES BIOMÉTRICOS FACIALES Y TRASLADO MANTENIMIENTO PREVENTIVO Y CORRECTIVO A TODO COSTO DE EQUIPOS CONTROL DE ACCESO PEATONAL","PN ESPOL SA MC 002 2020 Manifestación de interés Menor Cuantía Presentación de oferta","CO1.BDOS.1493015","Selección Abreviada de Menor Cuantía","Si","SOFTWARE AUTOMATION AND TECHNOLOGY LTDA","900090381","701695355","700625163"
"2022-06-02T00:00:00.000","CCTV POSTGRADOS PONAL","CO1.RPL.2784972","1087685831","ESPOL","800226849","COP","Adquisición actualización instalación integración y mantenimiento del Circuito Cerrado de Televisión CCTV","PN ESPOL SIP 017 2022","CO1.BDOS.2946809","Solicitud de información a los Proveedores","No","NEWSAT SAS","830513366","701695355","700906084"
"2021-08-04T00:00:00.000","PN ESPOL MIC 011 2021","CO1.RPL.2246879","7854000","ESPOL","800226849","COP","MANTENIMIENTO ARCHIVADOR RODANTE","PN ESPOL MIC 011 2021","CO1.BDOS.2117997","Mínima cuantía","No","GLORIA ELIZABETH OSORIO BENAVIDES","51937871","701695355","700815384"
"2023-05-06T00:00:00.000","CURSO INSPECTOR ALSE CENAC TOLEMAIDA","CO1.RPL.3378830","362500000","CENTRAL ADMINISTRATIVA Y CONTABLE ESPECIALIZADA CENAC AVIACION","830039207","COP","CAPACITACION DE TECNICO INSPECTOR ALSE","129SIPCENACAVIACION2023","CO1.BDOS.4309805","Solicitud de información a los Proveedores","No","OWL VISION SAS","900281087","702359944","702138306"
"2023-05-05T00:00:00.000","tt tcr gpc","CO1.RPL.3368723","67223100","AEROCIVIL","899999059","COP","DESARROLLAR SIMULACROS DE ACTO DE INTERFERENCIA ILICITA EN AEROPUERTOS ADSCRITOS A LA REGIONAL NORORIENTE","23000596 H3","CO1.BDOS.4345081","Mínima cuantía","No","GPC DE COLOMBIA SAS","900697240","701110272","709200430"
"2018-07-10T00:00:00.000","OFERTA ICFES 012018 PROCESO PN ESPOL CD 027 2018","CO1.RPL.610905","335314992","ESPOL","800226849","COP","APLICACIÓN Y CALIFICACIÓN DE LAS PRUEBAS DE CONOCIMIENTO POLICIAL Y JURÍDICO PARA EL CONCURSO PARA INGRESAR AL CURSO DE CAPACITACIÓN PARA ASCENSO AL GRADO DE TENIENTE CORONEL","PN ESPOL CD 027 2018","CO1.BDOS.450791","Contratación Directa (con ofertas)","Si","INSTITUTO COLOMBIANO PARA LA EVALUACIÓN DE LA EDUCACIÓN  ICFES","860024301","701695355","702412826"
"2020-04-24T00:00:00.000","OFERTA CHEMILAB PN ESPOL MIC 003 2020","CO1.RPL.1464234","7461300","ESPOL","800226849","COP","CONTRATAR EL SERVICIO DE ANÁLISIS DE AGUAS RESIDUALES EN LA ESCUELA DE POSTGRADOS DE POLICÍA MIGUEL ANTONIO LLERAS PIZARRO","PN ESPOL MIC 003 2020","CO1.BDOS.1213540","Mínima cuantía","No","CHEMICAL LABORATORY SAS","9003291609","701695355","702349168"
